url,issues
"/blog/massage-therapist-dallas-guide","title-too-long(79)"
"/blog/grow-massage-practice-online","title-too-long(71)"
"/blog/massage-anxiety-relief","title-too-long(85)"
"/blog/trans-inclusive-bodywork","title-too-long(74)"
"/services/deep-tissue","desc-too-long(194)"
"/services/swedish","desc-too-long(192)"
"/services/sports","desc-too-long(182)"
"/services","desc-too-long(182)"
"/plano","desc-too-long(189)"
"/highland-park","title-too-long(68); desc-too-long(197)"
"/irving","desc-too-long(190)"
"/miami/wellness/hotel-massage","desc-too-long(191)"
"/miami/areas/brickell","title-too-long(72)"
"/addison","desc-too-long(191)"
"/arlington","title-too-long(64); desc-too-long(193)"
"/beaumont","title-too-long(63); desc-too-long(192)"
"/carrollton","title-too-long(68); desc-too-long(194)"
"/el-paso","desc-too-long(191)"
"/farmers-branch","title-too-long(69); desc-too-long(198)"
"/fort-worth","title-too-long(65); desc-too-long(194)"
"/frisco","desc-too-long(190)"
"/grand-prairie","title-too-long(68); desc-too-long(197)"
"/miami/wellness/outcall","desc-too-long(177)"
"/atlanta/gay-massage","title-too-long(80); desc-too-long(194)"
"/las-vegas/gay-massage","title-too-long(82); desc-too-long(196)"
"/new-york/gay-massage","title-too-long(81); desc-too-long(195)"
"/los-angeles/gay-massage","title-too-long(84); desc-too-long(198)"
"/miami/verified-profiles","desc-too-long(224)"
"/miami/wellness","desc-too-long(213)"
"/miami/gay-massage","title-too-long(78); desc-too-long(192)"
"/miami/wellness/swedish","desc-too-long(176)"
"/washington-dc/gay-massage","title-too-long(86); desc-too-long(200)"
"/irving/lgbtq-friendly","title-too-long(79); desc-too-long(193)"
"/irving/male-therapists","desc-too-long(218)"
"/irving/wellness/outcall","desc-too-long(178)"
"/plano/lgbtq-friendly","title-too-long(78); desc-too-long(192)"
"/plano/male-therapists","desc-too-long(217)"
"/plano/wellness/deep-tissue","desc-too-long(191)"
"/plano/wellness/outcall","desc-too-long(177)"
"/san-antonio/areas/king-william","title-too-long(82)"
"/palm-springs/gay-massage","title-too-long(85); desc-too-long(199)"
"/san-francisco/gay-massage","title-too-long(86); desc-too-long(200)"
"/san-diego/gay-massage","title-too-long(82); desc-too-long(196)"
"/west-hollywood/gay-massage","title-too-long(87); desc-too-long(201)"
"/fort-lauderdale/gay-massage","title-too-long(88); desc-too-long(202)"
"/key-west/gay-massage","title-too-long(81); desc-too-long(195)"
"/fire-island/gay-massage","title-too-long(84); desc-too-long(198)"
"/seattle/gay-massage","title-too-long(80); desc-too-long(194)"
"/denver/gay-massage","title-too-long(79); desc-too-long(193)"
"/phoenix/gay-massage","title-too-long(80); desc-too-long(194)"
"/portland/gay-massage","title-too-long(81); desc-too-long(195)"
"/minneapolis/gay-massage","title-too-long(84); desc-too-long(198)"
"/provincetown/gay-massage","title-too-long(85); desc-too-long(199)"
"/philadelphia/gay-massage","title-too-long(85); desc-too-long(199)"
"/nashville/gay-massage","title-too-long(82); desc-too-long(196)"
"/new-orleans/gay-massage","title-too-long(84); desc-too-long(198)"
"/states/district-of-columbia/cities/washington-dc","desc-too-long(169)"
